Sensor Network Edges with Distance, Cost and Capacity:
edge: (1, 11), distance: 123.113, receivecost: 0.4096, transmitcost: 6.6178, storagecost: 0.4096, energycapacity: 3500.0
edge: (15, 6), distance: 187.387, receivecost: 0.4096, transmitcost: 14.7922, storagecost: 0.4096, energycapacity: 3500.0
edge: (15, 62), distance: 171.33, receivecost: 0.4096, transmitcost: 12.433, storagecost: 0.4096, energycapacity: 3276.0
edge: (15, 73), distance: 137.912, receivecost: 0.4096, transmitcost: 8.2, storagecost: 0.4096, energycapacity: 2596.0
edge: (15, 75), distance: 166.001, receivecost: 0.4096, transmitcost: 11.6966, storagecost: 0.4096, energycapacity: 2640.0
edge: (15, 77), distance: 94.989, receivecost: 0.4096, transmitcost: 4.1053, storagecost: 0.4096, energycapacity: 3125.0
edge: (15, 79), distance: 167.866, receivecost: 0.4096, transmitcost: 11.9517, storagecost: 0.4096, energycapacity: 3265.0
edge: (15, 94), distance: 152.983, receivecost: 0.4096, transmitcost: 9.9958, storagecost: 0.4096, energycapacity: 3115.0
edge: (15, 96), distance: 200.317, receivecost: 0.4096, transmitcost: 16.8456, storagecost: 0.4096, energycapacity: 2666.0
edge: (15, 97), distance: 119.898, receivecost: 0.4096, transmitcost: 6.2978, storagecost: 0.4096, energycapacity: 2569.0
edge: (16, 17), distance: 60.976, receivecost: 0.4096, transmitcost: 1.9325, storagecost: 0.4096, energycapacity: 3500.0
edge: (16, 2), distance: 190.287, receivecost: 0.4096, transmitcost: 15.2408, storagecost: 0.4096, energycapacity: 3500.0
edge: (16, 41), distance: 124.345, receivecost: 0.4096, transmitcost: 6.7427, storagecost: 0.4096, energycapacity: 2750.0
edge: (16, 50), distance: 78.716, receivecost: 0.4096, transmitcost: 2.9476, storagecost: 0.4096, energycapacity: 3434.0
edge: (16, 58), distance: 236.243, receivecost: 0.4096, transmitcost: 23.2697, storagecost: 0.4096, energycapacity: 3387.0
edge: (16, 60), distance: 163.944, receivecost: 0.4096, transmitcost: 11.4187, storagecost: 0.4096, energycapacity: 3345.0
edge: (16, 61), distance: 181.281, receivecost: 0.4096, transmitcost: 13.8702, storagecost: 0.4096, energycapacity: 3313.0
edge: (16, 70), distance: 89.109, receivecost: 0.4096, transmitcost: 3.662, storagecost: 0.4096, energycapacity: 3146.0
edge: (16, 74), distance: 184.925, receivecost: 0.4096, transmitcost: 14.4168, storagecost: 0.4096, energycapacity: 2510.0
edge: (16, 80), distance: 124.535, receivecost: 0.4096, transmitcost: 6.7621, storagecost: 0.4096, energycapacity: 2954.0
edge: (17, 16), distance: 60.976, receivecost: 0.4096, transmitcost: 1.9325, storagecost: 0.4096, energycapacity: 3500.0
edge: (17, 2), distance: 145.268, receivecost: 0.4096, transmitcost: 9.0533, storagecost: 0.4096, energycapacity: 3500.0
edge: (17, 28), distance: 236.107, receivecost: 0.4096, transmitcost: 23.2435, storagecost: 0.4096, energycapacity: 2965.0
edge: (17, 41), distance: 108.886, receivecost: 0.4096, transmitcost: 5.2659, storagecost: 0.4096, energycapacity: 2750.0
edge: (17, 50), distance: 41.367, receivecost: 0.4096, transmitcost: 1.1105, storagecost: 0.4096, energycapacity: 3434.0
edge: (17, 60), distance: 214.475, receivecost: 0.4096, transmitcost: 19.2511, storagecost: 0.4096, energycapacity: 3345.0
edge: (17, 61), distance: 158.709, receivecost: 0.4096, transmitcost: 10.7268, storagecost: 0.4096, energycapacity: 3313.0
edge: (17, 70), distance: 33.077, receivecost: 0.4096, transmitcost: 0.8577, storagecost: 0.4096, energycapacity: 3146.0
edge: (17, 74), distance: 202.124, receivecost: 0.4096, transmitcost: 17.1434, storagecost: 0.4096, energycapacity: 2510.0
edge: (17, 80), distance: 136.208, receivecost: 0.4096, transmitcost: 8.0087, storagecost: 0.4096, energycapacity: 2954.0
edge: (18, 12), distance: 41.687, receivecost: 0.4096, transmitcost: 1.1214, storagecost: 0.4096, energycapacity: 3500.0
edge: (18, 24), distance: 199.934, receivecost: 0.4096, transmitcost: 16.7827, storagecost: 0.4096, energycapacity: 2929.0
edge: (18, 4), distance: 185.668, receivecost: 0.4096, transmitcost: 14.5296, storagecost: 0.4096, energycapacity: 3500.0
edge: (18, 48), distance: 11.923, receivecost: 0.4096, transmitcost: 0.4678, storagecost: 0.4096, energycapacity: 3161.0
edge: (18, 49), distance: 225.401, receivecost: 0.4096, transmitcost: 21.2195, storagecost: 0.4096, energycapacity: 3224.0
edge: (18, 63), distance: 200.359, receivecost: 0.4096, transmitcost: 16.8525, storagecost: 0.4096, energycapacity: 3268.0
edge: (18, 7), distance: 249.434, receivecost: 0.4096, transmitcost: 25.8939, storagecost: 0.4096, energycapacity: 3500.0
edge: (18, 83), distance: 83.345, receivecost: 0.4096, transmitcost: 3.2549, storagecost: 0.4096, energycapacity: 3331.0
edge: (18, 85), distance: 121.048, receivecost: 0.4096, transmitcost: 6.4113, storagecost: 0.4096, energycapacity: 3380.0
edge: (18, 99), distance: 177.984, receivecost: 0.4096, transmitcost: 13.3851, storagecost: 0.4096, energycapacity: 2885.0
edge: (19, 2), distance: 139.844, receivecost: 0.4096, transmitcost: 8.4199, storagecost: 0.4096, energycapacity: 3500.0
edge: (19, 27), distance: 107.804, receivecost: 0.4096, transmitcost: 5.1698, storagecost: 0.4096, energycapacity: 3453.0
edge: (19, 28), distance: 42.613, receivecost: 0.4096, transmitcost: 1.1534, storagecost: 0.4096, energycapacity: 2965.0
edge: (19, 41), distance: 189.492, receivecost: 0.4096, transmitcost: 15.1173, storagecost: 0.4096, energycapacity: 2750.0
edge: (19, 50), distance: 239.586, receivecost: 0.4096, transmitcost: 23.9213, storagecost: 0.4096, energycapacity: 3434.0
edge: (19, 52), distance: 240.538, receivecost: 0.4096, transmitcost: 24.1085, storagecost: 0.4096, energycapacity: 3039.0
edge: (19, 53), distance: 241.154, receivecost: 0.4096, transmitcost: 24.2299, storagecost: 0.4096, energycapacity: 3348.0
edge: (19, 54), distance: 225.06, receivecost: 0.4096, transmitcost: 21.1567, storagecost: 0.4096, energycapacity: 3033.0
edge: (19, 61), distance: 133.037, receivecost: 0.4096, transmitcost: 7.659, storagecost: 0.4096, energycapacity: 3313.0
edge: (2, 16), distance: 190.287, receivecost: 0.4096, transmitcost: 15.2408, storagecost: 0.4096, energycapacity: 3500.0
edge: (2, 17), distance: 145.268, receivecost: 0.4096, transmitcost: 9.0533, storagecost: 0.4096, energycapacity: 3500.0
edge: (2, 19), distance: 139.844, receivecost: 0.4096, transmitcost: 8.4199, storagecost: 0.4096, energycapacity: 3500.0
edge: (2, 27), distance: 233.598, receivecost: 0.4096, transmitcost: 22.7606, storagecost: 0.4096, energycapacity: 3453.0
edge: (2, 28), distance: 97.524, receivecost: 0.4096, transmitcost: 4.3052, storagecost: 0.4096, energycapacity: 2965.0
edge: (2, 41), distance: 94.336, receivecost: 0.4096, transmitcost: 4.0547, storagecost: 0.4096, energycapacity: 2750.0
edge: (2, 50), distance: 111.983, receivecost: 0.4096, transmitcost: 5.546, storagecost: 0.4096, energycapacity: 3434.0
edge: (2, 61), distance: 75.212, receivecost: 0.4096, transmitcost: 2.7266, storagecost: 0.4096, energycapacity: 3313.0
edge: (2, 70), distance: 148.506, receivecost: 0.4096, transmitcost: 9.443, storagecost: 0.4096, energycapacity: 3146.0
edge: (20, 1), distance: 92.212, receivecost: 0.4096, transmitcost: 3.8925, storagecost: 0.4096, energycapacity: 3500.0
edge: (20, 11), distance: 84.792, receivecost: 0.4096, transmitcost: 3.3545, storagecost: 0.4096, energycapacity: 3500.0
edge: (20, 26), distance: 225.085, receivecost: 0.4096, transmitcost: 21.1612, storagecost: 0.4096, energycapacity: 3171.0
edge: (20, 29), distance: 215.469, receivecost: 0.4096, transmitcost: 19.4261, storagecost: 0.4096, energycapacity: 2712.0
edge: (20, 31), distance: 82.715, receivecost: 0.4096, transmitcost: 3.212, storagecost: 0.4096, energycapacity: 3290.0
edge: (20, 32), distance: 113.043, receivecost: 0.4096, transmitcost: 5.6438, storagecost: 0.4096, energycapacity: 3043.0
edge: (20, 34), distance: 235.931, receivecost: 0.4096, transmitcost: 23.2093, storagecost: 0.4096, energycapacity: 2934.0
edge: (20, 37), distance: 232.505, receivecost: 0.4096, transmitcost: 22.552, storagecost: 0.4096, energycapacity: 2653.0
edge: (20, 42), distance: 14.85, receivecost: 0.4096, transmitcost: 0.4999, storagecost: 0.4096, energycapacity: 3266.0
edge: (20, 43), distance: 209.828, receivecost: 0.4096, transmitcost: 18.4433, storagecost: 0.4096, energycapacity: 2872.0
edge: (20, 47), distance: 47.6, receivecost: 0.4096, transmitcost: 1.3377, storagecost: 0.4096, energycapacity: 3079.0
edge: (20, 55), distance: 150.861, receivecost: 0.4096, transmitcost: 9.7317, storagecost: 0.4096, energycapacity: 3338.0
edge: (20, 59), distance: 173.831, receivecost: 0.4096, transmitcost: 12.7866, storagecost: 0.4096, energycapacity: 3149.0
edge: (20, 64), distance: 154.379, receivecost: 0.4096, transmitcost: 10.1715, storagecost: 0.4096, energycapacity: 3306.0
edge: (20, 66), distance: 175.279, receivecost: 0.4096, transmitcost: 12.9937, storagecost: 0.4096, energycapacity: 3165.0
edge: (20, 67), distance: 90.106, receivecost: 0.4096, transmitcost: 3.7352, storagecost: 0.4096, energycapacity: 3286.0
edge: (20, 69), distance: 64.06, receivecost: 0.4096, transmitcost: 2.0905, storagecost: 0.4096, energycapacity: 3286.0
edge: (20, 71), distance: 129.796, receivecost: 0.4096, transmitcost: 7.3101, storagecost: 0.4096, energycapacity: 3102.0
edge: (20, 72), distance: 219.511, receivecost: 0.4096, transmitcost: 20.1462, storagecost: 0.4096, energycapacity: 2702.0
edge: (20, 78), distance: 215.983, receivecost: 0.4096, transmitcost: 19.5169, storagecost: 0.4096, energycapacity: 3489.0
edge: (20, 8), distance: 177.619, receivecost: 0.4096, transmitcost: 13.3319, storagecost: 0.4096, energycapacity: 3500.0
edge: (20, 84), distance: 83.922, receivecost: 0.4096, transmitcost: 3.2943, storagecost: 0.4096, energycapacity: 3207.0
edge: (20, 86), distance: 85.634, receivecost: 0.4096, transmitcost: 3.4133, storagecost: 0.4096, energycapacity: 2873.0
edge: (20, 95), distance: 178.238, receivecost: 0.4096, transmitcost: 13.422, storagecost: 0.4096, energycapacity: 3247.0
edge: (21, 12), distance: 233.463, receivecost: 0.4096, transmitcost: 22.7347, storagecost: 0.4096, energycapacity: 3500.0
edge: (21, 13), distance: 167.52, receivecost: 0.4096, transmitcost: 11.9042, storagecost: 0.4096, energycapacity: 3500.0
edge: (21, 36), distance: 153.648, receivecost: 0.4096, transmitcost: 10.0793, storagecost: 0.4096, energycapacity: 3261.0
edge: (21, 4), distance: 91.861, receivecost: 0.4096, transmitcost: 3.866, storagecost: 0.4096, energycapacity: 3500.0
edge: (21, 51), distance: 189.284, receivecost: 0.4096, transmitcost: 15.0849, storagecost: 0.4096, energycapacity: 2738.0
edge: (21, 63), distance: 68.351, receivecost: 0.4096, transmitcost: 2.3232, storagecost: 0.4096, energycapacity: 3268.0
edge: (21, 7), distance: 22.575, receivecost: 0.4096, transmitcost: 0.6184, storagecost: 0.4096, energycapacity: 3500.0
edge: (21, 81), distance: 153.344, receivecost: 0.4096, transmitcost: 10.0412, storagecost: 0.4096, energycapacity: 2992.0
edge: (21, 82), distance: 93.568, receivecost: 0.4096, transmitcost: 3.9957, storagecost: 0.4096, energycapacity: 2804.0
edge: (21, 85), distance: 247.145, receivecost: 0.4096, transmitcost: 25.4282, storagecost: 0.4096, energycapacity: 3380.0
edge: (21, 99), distance: 98.287, receivecost: 0.4096, transmitcost: 4.3665, storagecost: 0.4096, energycapacity: 2885.0
edge: (22, 100), distance: 230.151, receivecost: 0.4096, transmitcost: 22.1059, storagecost: 0.4096, energycapacity: 2754.0
edge: (22, 23), distance: 164.529, receivecost: 0.4096, transmitcost: 11.4974, storagecost: 0.4096, energycapacity: 3356.0
edge: (22, 24), distance: 246.025, receivecost: 0.4096, transmitcost: 25.202, storagecost: 0.4096, energycapacity: 2929.0
edge: (22, 25), distance: 158.936, receivecost: 0.4096, transmitcost: 10.7563, storagecost: 0.4096, energycapacity: 3438.0
edge: (22, 35), distance: 212.593, receivecost: 0.4096, transmitcost: 18.9218, storagecost: 0.4096, energycapacity: 3434.0
edge: (22, 38), distance: 184.767, receivecost: 0.4096, transmitcost: 14.3929, storagecost: 0.4096, energycapacity: 2606.0
edge: (22, 39), distance: 221.783, receivecost: 0.4096, transmitcost: 20.5569, storagecost: 0.4096, energycapacity: 3333.0
